compound,Class
L-Isoleucine,Amino acids
L-Leucine,Amino acids
L-Cysteine,Amino acids
L-Serine,Amino acids
Glycine,Amino acids
Adenosine monophosphate,Purine nucleotides
Isobutyryl-L-carnitine,Acyl carnitines
Butyrylcarnitine,Acyl carnitines
Valerylcarnitine,Acyl carnitines
Hydroxyhexanoycarnitine,Acyl carnitines
Hydroxyvalerylcarnitine,Acyl carnitines
L-Acetopine,Amino acids
Deoxyadenosine,Purine nucleosides
Methionyl-Phenylalanine,Amino acids
Phenylalanyl-Serine,Amino acids
Phenylalanyl-Valine,Amino acids
Serinyl-Isoleucine,Amino acids
Serinyl-Leucine,Amino acids
Serinyl-Phenylalanine,Amino acids
Theobromine,Purines
Threoninyl-Leucine,Amino acids
LysoPC(14:0),Glycerophosphocholines
sn-2 LysoPC(14:0),Glycerophosphocholines
LysoPE(0:0/18:0),Glycerophosphoethanolamines
LysoPE(18:0/0:0),Glycerophosphoethanolamines
LysoPC(0:0/16:0),Glycerophosphocholines
LysoPC(16:0),Glycerophosphocholines
LysoPC(16:1(9Z)),Glycerophosphocholines
sn-2 LysoPC(16:1),Glycerophosphocholines
LysoPC(0:0/18:0),Glycerophosphocholines
LysoPC(18:0),Glycerophosphocholines
LysoPC(18:1(11Z)),Glycerophosphocholines
LysoPC(18:1(9Z)),Glycerophosphocholines
sn-2 LysoPC(18:1(9Z)),Glycerophosphocholines
"LysoPC(18:2(9Z,12Z))",Glycerophosphocholines
LysoPE(0:0/18:1(11Z)),Glycerophosphoethanolamines
LysoPE(18:1(11Z)/0:0),Glycerophosphoethanolamines
LysoPE(18:1(9Z)/0:0),Glycerophosphoethanolamines
LysoPE(0:0/18:1(9Z)),Glycerophosphoethanolamines
Glycerol,Carbohydrates
(S)-2-Azetidinecarboxylic acid,Amino acids
1-Methyladenosine,Purine nucleosides
1-Methylguanine,Purines
1-Methylguanosine,Purine nucleosides
4-Guanidinobutanoic acid,Amino acids
4-Hydroxyproline,Amino acids
5'-Methylthioadenosine,Nucleosides
Acetylcholine,Quaternary ammonium salts
Adenosine,Purine nucleosides
Adenosine 3'-monophosphate,Nucleosides
ADP,Purine nucleotides
AICAR,Nucleosides
Allopurinol,Purines
Betaine,Amino acids
Choline,Quaternary ammonium salts
cis-5-Tetradecenoylcarnitine,Acyl carnitines
cis-Aconitic acid,Carboxylic acids
Citrulline,Amino acids
Coumarin,Coumarins
Creatine,Amino acids
Creatinine,Amino acids
Cysteinylglycine,Amino acids
Cytidine,Pyrimidine nucleosides
Cytidine monophosphate,Pyrimidine nucleotides
Cytosine,Pyrimidines
Epinephrine,Phenols
Gamma-Glutamyltyrosine,Amino acids
Glutamyl-Glutamine,Amino acids
Glutathione,Amino acids
Glycerophosphocholine,Glycerophosphocholines
Guanine,Purines
Guanosine,Purine nucleosides
Guanosine monophosphate,Fatty Acyls
Histidinyl-Phenylalanine,Amino acids
Homocitrulline,Amino acids
Hypoxanthine,Purines
Isoleucyl-Alanine,Amino acids
Isoleucyl-Arginine,Amino acids
Isoleucyl-Serine,Amino acids
Isovalerylcarnitine,Acyl carnitines
L-Acetylcarnitine,Acyl carnitines
L-Alanine,Amino acids
L-Arginine,Amino acids
L-Asparagine,Amino acids
L-Carnitine,Quaternary ammonium salts
L-gamma-glutamyl-L-isoleucine,Amino acids
L-gamma-glutamyl-L-leucine,Amino acids
L-gamma-glutamyl-L-valine,Amino acids
L-Glutamine,Amino acids
L-Hexanoylcarnitine,Acyl carnitines
L-Kynurenine,Organooxygen
L-Lysine,Amino acids
L-Methionine,Amino acids
L-Octanoylcarnitine,Acyl carnitines
L-Phenylalanine,Amino acids
L-Proline,Amino acids
L-Tryptophan,Amino acids
L-Tyrosine,Amino acids
L-Valine,Amino acids
LysoPC(15:0),Glycerophosphocholines
Lysyl-Leucine,Amino acids
"N6,N6,N6-Trimethyl-L-lysine",Amino acids
N6-Acetyl-L-lysine,Amino acids
N-a-Acetyl-L-arginine,Amino acids
NAD,Nucleosides
Niacinamide,Pyridines
O-decanoyl-L-carnitine,Acyl carnitines
Oxidized glutathione,Amino acids
Pantothenic acid,Alcohols
Phenylalanyl-Glutamate,Amino acids
Phenylalanyl-Tyrosine,Amino acids
Phosphorylcholine,Glycerophospholipids
Picolinic acid,Pyridines
Proline betaine,Amino acids
Propionylcarnitine,Acyl carnitines
Pyroglutamine,Amino acids
S-Lactoylglutathione,Amino acids
Symmetric dimethylarginine,Amino acids
thymine,Pyrimidines
Tiglylcarnitine,Acyl carnitines
trans-2-Tetradecenoylcarnitine,Acyl carnitines
Uracil,Pyrimidines
Urea,Amino acids
Uridine,Pyrimidine nucleosides
Urocanic acid,Imidazoles
Xanthine,Purines
2-Ethylhydracrylic acid,Fatty acids
2-Hydroxybutyric acid,Alpha hydroxy acids
2-Hydroxycaproic acid,Fatty acids
2-Hydroxyglutarate,Hydroxy acids
3-phosphoglyceric acid,Carbohydrates
6-Phosphonoglucono-D-lactone,Carbohydrates
Adenylsuccinic acid,Purine nucleotides
Alpha-ketoisovaleric acid,Keto acids
Citric acid,Carboxylic acids
D-Erythrose 4-phosphate,Carbohydrates
D-Ribose 5-phosphate,Carboxylic acids
"Fructose 1,6-bisphosphate",Carbohydrates
Fumaric acid,Carboxylic acids
Gluconic acid,Carbohydrates
Glucose 6-phosphate,Carbohydrates
Glycerol 3-phosphate,Glycerophosphates
Glycyl-L-leucine,Amino acids
Inosine,Purine nucleosides
Inosinic acid,Purine nucleosides
L-Aspartic acid,Amino acids
L-Glutamic acid,Amino acids
L-Histidine,Amino acids
L-Lactic acid,Hydroxy acids
L-Malic acid,Hydroxy acids
Mandelic acid,Benzene
N-Acetylglutamic acid,Amino acids
N-Acetyl-L-phenylalanine,Amino acids
Ornithine,Amino acids
Oxoglutaric acid,Keto acids
Phosphoenolpyruvic acid,Carbohydrates
Pipecolic acid,Amino acids
Succinic acid,Carboxylic acids
Trehalose,Carbohydrates
Tridecanoic acid,Fatty acids
Uric acid,Purines
Uridine 5'-monophosphate,Pyrimidine nucleotides
Xanthosine,Pyrimidine nucleotides
